Title,Album,Year,artist
9 to 5 to 9,Halfway There,2021.0,Sabyn Mayfield
A Bridge Across,This Is My America,2008.0,Mark O'Connor
A Bridge Across,This Is My America,2008.0,The Nashville Symphony
A Fool Like Me,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Porter Wagoner
A Lil' Ole Bitty Pissant Country Place,The Best Little Whorehouse in Texas,1982.0,Teresa Merritt
A Vision of Mother,Don't Cheat in Our Hometown,1983.0,Ricky Skaggs
Afraid to Love Again,Just the Two of Us,1968.0,Porter Wagoner
After the Gold Rush,Trio II,1999.0,Emmylou Harris
After the Gold Rush,Trio II,1999.0,Linda Ronstadt
Again,Say Forever You'll Be Mine,1975.0,Porter Wagoner
All I Need Is You,Two of a Kind,1971.0,Porter Wagoner
All I Want for Christmas Is You,A Holly Dolly Christmas,2020.0,Jimmy Fallon
"Always, Always","Always, Always",1969.0,Porter Wagoner
Angels and Eagles,Happy Face,2004.0,Kim McLean
Anyplace You Want to Go,Together Always,1972.0,Porter Wagoner
Anything's Better Than Nothing,"Always, Always",1969.0,Porter Wagoner
Are You Tired of Me,The Complete Trio Collection,2016.0,Emmylou Harris
Are You Tired of Me,The Complete Trio Collection,2016.0,Linda Ronstadt
"Baby, It's Cold Outside","Stardust: The Great American Songbook, Volume III",2004.0,Rod Stewart
Because One of Us Was Wrong,Just Between You and Me,1968.0,Porter Wagoner
Before I Met You,Just Between You and Me,1968.0,Porter Wagoner
Before Our Weakness Gets Too Strong,Once More,1970.0,Porter Wagoner
Better Move It on Home,The Best of Porter Wagoner & Dolly Parton,1971.0,Porter Wagoner
Blowin' in the Wind,Those Were the Days,2005.0,Nickel Creek
"Bluegrass, White Snow",Bluegrass & White Snow: A Mountain Christmas,2002.0,Patty Loveless
"Bluegrass, White Snow",Bluegrass & White Snow: A Mountain Christmas,2002.0,Ricky Skaggs
Boots and Sand,Roadsinger,2009.0,Paul McCartney
Boots and Sand,Roadsinger,2009.0,Yusuf Islam
Born Again Wildflower,Born Again Wildflower,2017.0,Debbie Cochran
Both Sides Now,Those Were the Days,2005.0,Judy Collins
Both Sides Now,Those Were the Days,2005.0,Rhonda Vincent
Burning the Midnight Oil,The Right Combination • Burning the Midnight Oil,1972.0,Porter Wagoner
Calling My Children Home,The Complete Trio Collection,2016.0,Emmylou Harris
Calling My Children Home,The Complete Trio Collection,2016.0,Linda Ronstadt
Chet's Tune (Part 2),"""Chet's Tune"" B-side",1972.0,Some More of Chet's Friends
Christmas Where We Are,A Holly Dolly Christmas,2020.0,Billy Ray Cyrus
Christmas Without You,Once Upon a Christmas,1984.0,Kenny Rogers
Circle Game,Born for You,2000.0,Kathie Lee
Closer by the Hour,Just the Two of Us,1968.0,Porter Wagoner
Coke and Chips,"Tonite! At the Capri Lounge, Loretta Haggers",1976.0,Mary Kay Place
Cora Is Gone,Sandman,1977.0,Herb Pedersen
Creepin' In,Feels Like Home,2004.0,Norah Jones
Crimson and Clover,Those Were the Days,2005.0,Tommy James
Curse of the Wild Weed Flower,Two of a Kind,1971.0,Porter Wagoner
Daddy Did His Best,Porter & Dolly,1980.0,Porter Wagoner
Daddy Did His Best,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Porter Wagoner
Daddy Was an Old Time Preacher Man,Once More,1970.0,Porter Wagoner
Daddy Was an Old Time Preacher Man,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Porter Wagoner
Dixie Darling,Banjoman: A Tribute to Derroll Adams,2002.0,Arlo Guthrie
Do I Love You (Yes in Every Way),Duets,2013.0,Paul Anka
Does He Love You,Revived Remixed Revisited,2021.0,Reba McEntire
Don't Step Over an Old Love,Don't Cheat in Our Hometown,1983.0,Ricky Skaggs
Dreaming My Dreams with You,Forget About It,1999.0,Alison Krauss
Dreaming My Dreams with You,Forget About It,1999.0,Lyle Lovett
Drifting Too Far from the Shore,Best of Grand Old Gospel 2008,2007.0,Porter Wagoner
Dumb Blonde,Dumplin',2018.0,Miranda Lambert
Each Season Changes You,Porter Wayne and Dolly Rebecca,1970.0,Porter Wagoner
Evangeline,Evangeline,1981.0,Emmylou Harris
Evangeline,Evangeline,1981.0,Linda Ronstadt
Even Cowgirls Get the Blues,Blue Kentucky Girl,1979.0,Emmylou Harris
Even Cowgirls Get the Blues,Blue Kentucky Girl,1979.0,Linda Ronstadt
Everyone But Me and You,Will Write Songs for Food,1994.0,Mac Davis
Faith,Church,2019.0,Galantis
Faith,Church,2019.0,Mr Probz
Farther Along,Trio,1987.0,Emmylou Harris
Farther Along,Trio,1987.0,Linda Ronstadt
Farther Along,The Complete Trio Collection,2016.0,Emmylou Harris
Farther Along,The Complete Trio Collection,2016.0,Linda Ronstadt
Feels Like Home,Trio II,1999.0,Emmylou Harris
Forbidden Love,"""So Little I Wanted, So Little I Got"" B-side",1960.0,Bill Owens
Forever,Joyful Noise,2012.0,Angela Grovey
Forever,Joyful Noise,2012.0,DeQuina Moore
Forever Country,Non-album single,2016.0,Artists of Then
Forever Country,Non-album single,2016.0,Now & Forever
Forty Miles from Poplar Bluff,Porter Wayne and Dolly Rebecca,1970.0,Porter Wagoner
Four O Thirty Three,Just Between You and Me,1968.0,Porter Wagoner
Friends Tell Friends,Bill Phillips' Style,1967.0,Bill Phillips
God Only Knows,Non-album single,2019.0,For King & Country
Gold,All I Intended to Be,2008.0,Emmylou Harris
Gold,All I Intended to Be,2008.0,Vince Gill
Good as Gold,"Always, Always",1969.0,Porter Wagoner
Good as Gold,"Just Between You and Me: The Complete Recordings, 1967–1976",2014.0,Porter Wagoner
Good Old Country Baptizin',"Tonite! At the Capri Lounge, Loretta Haggers",1976.0,Mary Kay Place
Green Pastures,Roses in the Snow,1980.0,Emmylou Harris
Green Pastures,Roses in the Snow,1980.0,Ricky Skaggs
Grey Funnel Line,The Complete Trio Collection,2016.0,Emmylou Harris
Grey Funnel Line,The Complete Trio Collection,2016.0,Linda Ronstadt
Hand Me Downs,Non-album single,2021.0,Janelle Arthur
Handful of Dust,The Complete Trio Collection,2016.0,Emmylou Harris
Handful of Dust,The Complete Trio Collection,2016.0,Linda Ronstadt
