"County","Poverty Rate 1960","Poverty Rate 1970","Poverty Rate 1980","Poverty Rate 1990","Poverty Rate 2000","Poverty Rate 2010","Poverty Rate 2020"
"Anderson",27.5,18.6,14.6,14.3,13.1,16.7,15.2
"Bedford",38.5,21.3,14.1,16,13.1,18.9,13.8
"Benton",41.3,21.4,16.5,17.2,15.6,20.4,17
"Bledsoe",67.7,37.1,24.2,19.2,18.1,23.1,20.5
"Blount",32.4,17,12.7,12.4,9.7,12.7,9.7
"Bradley",37.2,16.8,13.9,13.8,12.2,17.8,15.6
"Campbell",59.5,41.1,24.8,26.8,22.8,23.7,19.8
"Cannon",45.6,28.6,17.5,14.5,12.8,16.4,16.5
"Carroll",49.9,20.7,17.1,15.9,13.9,19.2,16.8
"Carter",40.8,22.1,18.8,18,16.9,22.8,19.1
"Cheatham",38.2,17.3,10.9,10.8,7.4,11.7,10.7
"Chester",52.5,29.4,20.7,18.9,14.4,16.9,13.3
"Claiborne",66.7,43.6,29.3,25.7,22.6,23,23.1
"Clay",66.4,43.9,26.8,23,19.1,19.7,25.9
"Cocke",58.2,33.3,27.5,25.3,22.5,26,20.7
"Coffee",34.9,19.7,14.3,15.2,14.3,20.6,14.4
"Crockett",57.2,30.5,21.8,17.6,16.9,19.2,16
"Cumberland",64,31.9,21.9,18.1,14.7,16.4,12.5
"Davidson",25.9,13.8,12.3,13,13,18.5,14.2
"Decatur",53.7,23.4,19,19.9,16,20.9,18.7
"De Kalb",54.2,23.1,22.9,20.3,17,19,19.8
"Dickson",42.8,19,12.1,15.4,10.2,16,11.9
"Dyer",51.8,26.3,16.3,17.6,15.9,19.2,18.3
"Fayette",77.8,50.6,30.3,24.1,14.3,13.2,12
"Fentress",73.5,46.2,33.5,32.3,23.1,25.4,18.7
"Franklin",42.3,24.7,16.5,14.4,13.2,15.9,15.4
"Gibson",48.8,22.3,18.8,16.2,12.8,18.6,15.4
"Giles",50.8,24.5,16.7,16.4,11.7,18.6,13.2
"Grainger",55.5,32.5,22.9,20.5,18.7,20.2,16.8
"Greene",43.8,23.6,18,16.9,14.5,22.5,16.9
"Grundy",65.6,44.3,25.5,23.9,25.8,29,19.1
"Hamblen",35.3,19.1,15.6,13.9,14.4,18.6,17
"Hamilton",28.3,16.6,13.5,13.1,12.1,16.2,12.6
"Hancock",73.2,62.6,43,40,29.4,32.7,31.1
"Hardeman",67.3,36.7,27.3,23.3,19.7,23,18.2
"Hardin",59.4,33.7,20.4,20.1,18.8,22.2,17.4
"Hawkins",48.6,26.7,18.3,17.9,15.8,16.4,17.7
"Haywood",69.1,49.9,32.9,27.5,19.5,21.2,18
"Henderson",55.3,27.9,17.6,15.8,12.4,17.5,19
"Henry",43.1,26.2,15,18.9,14.3,17.4,20.7
"Hickman",48.4,26.6,13.4,18.1,14.3,16.3,14.7
"Houston",59.5,25.9,17.7,18.7,18.1,21.7,14.8
"Humphreys",44.3,20.9,13,14.4,10.8,14,15.5
"Jackson",68.7,40.9,24.9,20,18.1,24.1,16
"Jefferson",40.4,22.3,17.1,15.1,13.4,19.2,13.1
"Johnson",62.7,32.8,26.5,28.5,22.6,25.4,23.7
"Knox",29.4,17.7,14.7,14.1,12.6,14.2,13.2
"Lake",66.8,40.5,31.3,27.5,23.6,30.3,31
"Lauderdale",68,47.7,24.9,22.4,19.2,26.1,19.5
"Lawrence",42.8,27.6,16.6,15.3,14.6,18,16.7
"Lewis",55.1,24.7,21.3,21,13.4,19.4,20.3
"Lincoln",45.9,30,16.4,14.2,13.6,16.4,11.7
"Loudon",36,21.1,12.8,13.6,10,14.6,12.2
"Macon",56.2,29.3,16.6,19.3,15.1,23.5,16.3
"Madison",45.1,24.1,17.6,17,14,18.3,18.5
"Marion",48.5,29.1,18.8,19.3,14.1,19.2,16.8
"Marshall",42.6,19.5,12.8,13.1,10,17.9,19.7
"Maury",37.5,20.1,15.5,13.2,10.9,15.8,16.6
"McMinn",44.2,21.1,16,17.2,14.5,18.5,16.2
"McNairy",58.6,32.7,18.3,20.3,15.9,23.5,9
"Meigs",65.4,33.7,14.3,22.3,18.3,23.3,15.4
"Monroe",55.4,27.9,19.4,17.8,15.5,19.3,16.9
"Montgomery",36.4,21.6,13,12.8,10,16.2,12.3
"Moore",43.2,17.5,16.3,6.5,9.6,14.7,8
"Morgan",65.9,32.1,25.7,20.2,16,19.1,22.6
"Obion",42.3,22.3,15.6,15.2,13.3,17.1,19.1
"Overton",64.1,38.2,25.4,17.9,16,22.1,19.2
"Perry",58.1,29.9,15.3,18.6,15.4,24.2,23.6
"Pickett",62,36.1,28.5,24.9,15.6,21,19.3
"Polk",41.8,24.8,19.4,18.3,13,17.8,12.4
"Putnam",49.8,25.7,16.7,16.6,16.4,24.1,17.8
"Rhea",52,28.6,19.7,19,14.7,22.4,17.1
"Roane",35.7,20.2,13.2,16,13.9,14.4,13.5
"Robertson",43,22,13.4,10.6,9,13,11.2
"Rutherford",36.6,18.8,11.5,10.8,9,13,10.3
"Scott",69.4,47.9,28.6,27.8,20.2,25.8,22
"Sequatchie",51.8,29.8,22.4,22.9,16.5,19.3,21.6
"Sevier",50,22.8,15.1,13.2,10.7,13.4,14.2
"Shelby",33,20.6,19.6,18.3,16,20.2,19
