FirstSeen,Title,Artist,PeakRank,WeeksOnBoard,ArtistList
2021-11-06,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,89,1,Kelsea Ballerini;Kenny Chesney
2021-10-23,Freedom Was A Highway,Jimmie Allen & Brad Paisley,82,3,Jimmie Allen;Brad Paisley
2021-10-23,Tequila Little Time,Jon Pardi,74,3,Jon Pardi
2021-10-02,Am I Dreaming,Lil Nas X Featuring Miley Cyrus,97,1,Lil Nas X;Miley Cyrus
2021-10-02,Lost In The Citadel,Lil Nas X,90,1,Lil Nas X
2021-10-02,Tales Of Dominica,Lil Nas X,86,1,Lil Nas X
2021-10-02,Dead Right Now,Lil Nas X,72,1,Lil Nas X
2021-10-02,Same Boat,Zac Brown Band,53,6,Zac Brown Band
2021-10-02,Wildest Dreams (Taylor's Version),Taylor Swift,37,1,Taylor Swift
2021-10-02,Thats What I Want,Lil Nas X,10,6,Lil Nas X
2021-09-04,One Mississippi,Kane Brown,68,5,Kane Brown
2021-08-28,Steal My Love,Dan + Shay,98,1,Dan + Shay
2021-08-21,Knowing You,Kenny Chesney,58,11,Kenny Chesney
2021-08-21,Buy Dirt,Jordan Davis Featuring Luke Bryan,34,12,Jordan Davis;Luke Bryan
2021-08-14,You Time,Scotty McCreery,50,12,Scotty McCreery
2021-08-07,Memory I Don't Mess With,Lee Brice,33,14,Lee Brice
2021-08-07,If I Didn't Love You,Jason Aldean & Carrie Underwood,15,14,Jason Aldean;Carrie Underwood
2021-07-24,Next Girl,Carly Pearce,86,4,Carly Pearce
2021-07-17,Renegade,Big Red Machine Featuring Taylor Swift,73,1,Big Red Machine;Taylor Swift
2021-07-17,You Should Probably Leave,Chris Stapleton,40,17,Chris Stapleton
2021-07-17,I Was On A Boat That Day,Old Dominion,37,17,Old Dominion
2021-07-17,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,26,17,Jameson Rodgers;Luke Combs
2021-07-17,Am I The Only One,Aaron Lewis,14,2,Aaron Lewis
2021-07-03,We Didn't Have Much,Justin Moore,41,13,Justin Moore
2021-07-03,Waves,Luke Bryan,24,17,Luke Bryan
2021-07-03,Fancy Like,Walker Hayes,3,19,Walker Hayes
2021-06-12,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,24,20,Chase Rice;Florida Georgia Line
2021-06-05,Sun Goes Down,Lil Nas X,66,2,Lil Nas X
2021-05-29,Things A Man Oughta Know,Lainey Wilson,32,20,Lainey Wilson
2021-05-22,Minimum Wage,Blake Shelton,67,12,Blake Shelton
2021-05-15,Country Again,Thomas Rhett,42,20,Thomas Rhett
2021-05-15,Single Saturday Night,Cole Swindell,26,20,Cole Swindell
2021-05-08,Blame It On You,Jason Aldean,30,17,Jason Aldean
2021-05-08,Without You,The Kid LAROI & Miley Cyrus,8,2,The Kid LAROI;Miley Cyrus
2021-05-01,Chasing After You,Ryan Hurd With Maren Morris,23,26,Ryan Hurd;Maren Morris
2021-04-24,The Way I Loved You (Taylor's Version),Taylor Swift,94,1,Taylor Swift
2021-04-24,Fifteen (Taylor's Version),Taylor Swift,88,1,Taylor Swift
2021-04-24,You Belong With Me (Taylor's Version),Taylor Swift,75,1,Taylor Swift
2021-04-24,Fearless (Taylor's Version),Taylor Swift,71,1,Taylor Swift
2021-04-24,Forever & Always (Taylor's Version),Taylor Swift,65,1,Taylor Swift
2021-04-17,Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,30,3,Taylor Swift
2021-04-10,You All Over Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Maren Morris,51,2,Taylor Swift;Maren Morris
2021-04-10,Montero (Call Me By Your Name),Lil Nas X,1,31,Lil Nas X
2021-04-03,Famous Friends,Chris Young + Kane Brown,21,22,Chris Young + Kane Brown
2021-03-27,Settling Down,Miranda Lambert,41,20,Miranda Lambert
2021-03-20,Lil Bit,Nelly & Florida Georgia Line,23,23,Nelly;Florida Georgia Line
2021-03-13,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,53,24,Elle King;Miranda Lambert
2021-03-13,Nobody,Dylan Scott,50,17,Dylan Scott
2021-03-13,Breaking Up Was Easy In The 90's,Sam Hunt,32,20,Sam Hunt
2021-03-13,Gone,Dierks Bentley,26,20,Dierks Bentley
2021-03-06,Made For You,Jake Owen,32,20,Jake Owen
2021-02-27,How They Remember You,Rascal Flatts,89,2,Rascal Flatts
2021-02-27,Love Story (Taylor's Version),Taylor Swift,11,2,Taylor Swift
2021-02-20,Glad You Exist,Dan + Shay,21,29,Dan + Shay
2021-01-30,Undivided,Tim McGraw & Tyler Hubbard,76,2,Tyler Hubbard;Tim McGraw
2021-01-23,Wonderin' Bout The Wind,Morgan Wallen,93,1,Morgan Wallen
2021-01-23,This Bar,Morgan Wallen,92,1,Morgan Wallen
2021-01-23,Only Thing That's Gone,Morgan Wallen Featuring Chris Stapleton,90,1,Chris Stapleton;Morgan Wallen
2021-01-23,Outlaw,Morgan Wallen Featuring Ben Burgess,86,1,Ben Burgess;Morgan Wallen
2021-01-23,Your Bartender,Morgan Wallen,84,1,Morgan Wallen
2021-01-23,Whiskey'd My Way,Morgan Wallen,83,1,Morgan Wallen
