song,artist,year,month,n_weeks,rank_w_mean,dolly_parton,date_short
'Tis The Damn Season,Taylor Swift,2020,12,1,39.0,0,2020-12-01
'Tis The Damn Season,Taylor Swift,2021,1,1,91.0,0,2021-01-01
(Marie's The Name) His Latest Flame,Elvis Presley,1961,8,1,66.0,0,1961-08-01
(Marie's The Name) His Latest Flame,Elvis Presley,1961,9,4,17.0,0,1961-09-01
(Marie's The Name) His Latest Flame,Elvis Presley,1961,10,5,33.0,0,1961-10-01
(Marie's The Name) His Latest Flame,Elvis Presley,1961,11,1,57.0,0,1961-11-01
(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,1959,3,2,45.0,0,1959-03-01
(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,1959,4,4,7.0,0,1959-04-01
(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,1959,5,4,8.25,0,1959-05-01
(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,1959,6,5,51.0,0,1959-06-01
(Such An) Easy Question,Elvis Presley With The Jordanaires,1965,6,2,58.5,0,1965-06-01
(Such An) Easy Question,Elvis Presley With The Jordanaires,1965,7,5,16.8,0,1965-07-01
(Such An) Easy Question,Elvis Presley With The Jordanaires,1965,8,1,35.0,0,1965-08-01
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,1968,3,5,14.0,0,1968-03-01
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,1968,4,4,5.0,0,1968-04-01
(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,1968,5,3,27.333333333333332,0,1968-05-01
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,1967,9,1,70.0,0,1967-09-01
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,1967,10,4,19.5,0,1967-10-01
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,1967,11,4,15.0,0,1967-11-01
(You're the) Devil In Disguise,Elvis Presley With The Jordanaires,1963,6,1,84.0,0,1963-06-01
(You're the) Devil In Disguise,Elvis Presley With The Jordanaires,1963,7,4,20.25,0,1963-07-01
(You're the) Devil In Disguise,Elvis Presley With The Jordanaires,1963,8,5,7.2,0,1963-08-01
(You're the) Devil In Disguise,Elvis Presley With The Jordanaires,1963,9,1,42.0,0,1963-09-01
...Ready For It?,Taylor Swift,2017,9,2,12.5,0,2017-09-01
...Ready For It?,Taylor Swift,2017,10,4,43.25,0,2017-10-01
...Ready For It?,Taylor Swift,2017,11,4,36.75,0,2017-11-01
...Ready For It?,Taylor Swift,2017,12,5,30.6,0,2017-12-01
...Ready For It?,Taylor Swift,2018,1,4,73.75,0,2018-01-01
22,Taylor Swift,2012,11,1,44.0,0,2012-11-01
22,Taylor Swift,2013,1,1,84.0,0,2013-01-01
22,Taylor Swift,2013,3,1,64.0,0,2013-03-01
22,Taylor Swift,2013,4,4,31.25,0,2013-04-01
22,Taylor Swift,2013,5,4,22.5,0,2013-05-01
22,Taylor Swift,2013,6,5,26.2,0,2013-06-01
22,Taylor Swift,2013,7,4,52.5,0,2013-07-01
4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2008,4,4,20.25,0,2008-04-01
4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2008,5,5,6.0,0,2008-05-01
4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2008,6,4,10.75,0,2008-06-01
4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2008,7,4,31.25,0,2008-07-01
4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,2008,8,3,61.0,0,2008-08-01
9 To 5,Dolly Parton,1980,11,1,73.0,1,1980-11-01
9 To 5,Dolly Parton,1980,12,4,44.25,1,1980-12-01
9 To 5,Dolly Parton,1981,1,5,21.4,1,1981-01-01
9 To 5,Dolly Parton,1981,2,4,2.25,1,1981-02-01
9 To 5,Dolly Parton,1981,3,4,3.5,1,1981-03-01
9 To 5,Dolly Parton,1981,4,4,22.5,1,1981-04-01
9 To 5,Dolly Parton,1981,5,4,75.75,1,1981-05-01
A Big Hunk O' Love,Elvis Presley With The Jordanaires,1959,7,4,20.5,0,1959-07-01
A Big Hunk O' Love,Elvis Presley With The Jordanaires,1959,8,5,3.0,0,1959-08-01
A Big Hunk O' Love,Elvis Presley With The Jordanaires,1959,9,4,34.5,0,1959-09-01
A Big Hunk O' Love,Elvis Presley With The Jordanaires,1959,10,1,96.0,0,1959-10-01
"A Deeper Love (From ""Sister Act 2"")",Aretha Franklin,1994,2,3,74.33333333333333,0,1994-02-01
"A Deeper Love (From ""Sister Act 2"")",Aretha Franklin,1994,3,4,71.0,0,1994-03-01
"A Deeper Love (From ""Sister Act 2"")",Aretha Franklin,1994,4,2,95.5,0,1994-04-01
A Little Less Conversation,Elvis Presley With The Jordanaires,1968,10,3,73.66666666666667,0,1968-10-01
A Little Less Conversation,Elvis Presley With The Jordanaires,1968,11,1,77.0,0,1968-11-01
A Little Less Conversation,Elvis Presley vs JXL,2002,7,3,59.666666666666664,0,2002-07-01
A Little Less Conversation,Elvis Presley vs JXL,2002,8,5,56.8,0,2002-08-01
A Little Less Conversation,Elvis Presley vs JXL,2002,9,1,86.0,0,2002-09-01
A Mess Of Blues,Elvis Presley With The Jordanaires,1960,7,1,53.0,0,1960-07-01
A Mess Of Blues,Elvis Presley With The Jordanaires,1960,8,5,46.2,0,1960-08-01
A Mess Of Blues,Elvis Presley With The Jordanaires,1960,9,4,57.5,0,1960-09-01
A Mess Of Blues,Elvis Presley With The Jordanaires,1960,10,1,73.0,0,1960-10-01
A Rose Is Still A Rose,Aretha Franklin,1998,3,3,37.0,0,1998-03-01
A Rose Is Still A Rose,Aretha Franklin,1998,4,4,29.75,0,1998-04-01
A Rose Is Still A Rose,Aretha Franklin,1998,5,5,37.8,0,1998-05-01
A Rose Is Still A Rose,Aretha Franklin,1998,6,4,65.0,0,1998-06-01
A Rose Is Still A Rose,Aretha Franklin,1998,7,2,93.0,0,1998-07-01
Afterglow,Taylor Swift,2019,9,1,75.0,0,2019-09-01
Ain't No Way,Aretha Franklin,1968,4,4,35.25,0,1968-04-01
Ain't No Way,Aretha Franklin,1968,5,4,22.5,0,1968-05-01
Ain't Nothing Like The Real Thing,Aretha Franklin,1974,8,1,89.0,0,1974-08-01
Ain't Nothing Like The Real Thing,Aretha Franklin,1974,9,4,60.25,0,1974-09-01
Ain't Nothing Like The Real Thing,Aretha Franklin,1974,10,2,58.5,0,1974-10-01
Ain't That Loving You Baby,Elvis Presley,1964,10,4,44.5,0,1964-10-01
Ain't That Loving You Baby,Elvis Presley,1964,11,4,19.0,0,1964-11-01
Ain't That Loving You Baby,Elvis Presley,1964,12,2,32.5,0,1964-12-01
All That I Am,Elvis Presley With The Jordanaires,1966,10,4,59.5,0,1966-10-01
All That I Am,Elvis Presley With The Jordanaires,1966,11,4,46.25,0,1966-11-01
All The Kings Horses,Aretha Franklin,1972,6,4,49.0,0,1972-06-01
All The Kings Horses,Aretha Franklin,1972,7,4,28.25,0,1972-07-01
All Too Well,Taylor Swift,2012,11,1,80.0,0,2012-11-01
Almost In Love,Elvis Presley With The Jordanaires,1968,9,1,99.0,0,1968-09-01
Almost In Love,Elvis Presley With The Jordanaires,1968,10,1,95.0,0,1968-10-01
American Life,Madonna,2003,4,4,67.0,0,2003-04-01
American Life,Madonna,2003,5,4,70.0,0,2003-05-01
American Pie,Madonna,2000,2,2,39.0,0,2000-02-01
American Pie,Madonna,2000,3,4,30.75,0,2000-03-01
American Pie,Madonna,2000,4,3,62.0,0,2000-04-01
An American Trilogy,Elvis Presley,1972,5,4,77.5,0,1972-05-01
An American Trilogy,Elvis Presley,1972,6,2,70.5,0,1972-06-01
Angel,Aretha Franklin,1973,7,4,50.0,0,1973-07-01
Angel,Aretha Franklin,1973,8,4,23.0,0,1973-08-01
Angel,Aretha Franklin,1973,9,5,34.0,0,1973-09-01
Angel,Madonna,1985,4,1,48.0,0,1985-04-01
Angel,Madonna,1985,5,4,29.25,0,1985-05-01
Angel,Madonna,1985,6,5,9.0,0,1985-06-01
Angel,Madonna,1985,7,4,22.75,0,1985-07-01
Angel,Madonna,1985,8,3,78.0,0,1985-08-01
Another Night,Aretha Franklin,1986,1,2,66.5,0,1986-01-01
Another Night,Aretha Franklin,1986,2,4,42.5,0,1986-02-01
Another Night,Aretha Franklin,1986,3,5,27.8,0,1986-03-01
Another Night,Aretha Franklin,1986,4,3,60.666666666666664,0,1986-04-01
Anything That's Part Of You,Elvis Presley With The Jordanaires,1962,3,3,58.666666666666664,0,1962-03-01
Anything That's Part Of You,Elvis Presley With The Jordanaires,1962,4,4,33.75,0,1962-04-01
Anything That's Part Of You,Elvis Presley With The Jordanaires,1962,5,1,40.0,0,1962-05-01
Are You Lonesome To-night?,Elvis Presley With The Jordanaires,1960,11,3,12.666666666666666,0,1960-11-01
Are You Lonesome To-night?,Elvis Presley With The Jordanaires,1960,12,4,1.0,0,1960-12-01
Are You Lonesome To-night?,Elvis Presley With The Jordanaires,1961,1,5,4.2,0,1961-01-01
Are You Lonesome To-night?,Elvis Presley With The Jordanaires,1961,2,4,38.0,0,1961-02-01
Ask Me,Elvis Presley With The Jordanaires,1964,10,4,61.25,0,1964-10-01
Ask Me,Elvis Presley With The Jordanaires,1964,11,4,18.5,0,1964-11-01
Ask Me,Elvis Presley With The Jordanaires,1964,12,4,26.0,0,1964-12-01
August,Taylor Swift,2020,8,2,48.0,0,2020-08-01
B**** I'm Madonna,Madonna Featuring Nicki Minaj,2015,7,2,89.5,0,2015-07-01
Babe,Sugarland Featuring Taylor Swift,2018,5,1,72.0,0,2018-05-01
Babe,Sugarland Featuring Taylor Swift,2018,6,1,95.0,0,2018-06-01
Baby I Love You,Aretha Franklin,1967,7,2,56.0,0,1967-07-01
Baby I Love You,Aretha Franklin,1967,8,4,10.75,0,1967-08-01
Baby I Love You,Aretha Franklin,1967,9,5,14.6,0,1967-09-01
Baby I'm Burnin',Dolly Parton,1978,12,4,69.0,1,1978-12-01
Baby I'm Burnin',Dolly Parton,1979,1,4,38.25,1,1979-01-01
Baby I'm Burnin',Dolly Parton,1979,2,4,26.5,1,1979-02-01
Baby I'm Burnin',Dolly Parton,1979,3,2,64.5,1,1979-03-01
Back To December,Taylor Swift,2010,10,1,6.0,0,2010-10-01
Back To December,Taylor Swift,2010,11,2,52.0,0,2010-11-01
Back To December,Taylor Swift,2010,12,4,47.75,0,2010-12-01
Back To December,Taylor Swift,2011,1,5,25.8,0,2011-01-01
Back To December,Taylor Swift,2011,2,4,21.0,0,2011-02-01
Back To December,Taylor Swift,2011,3,4,30.5,0,2011-03-01
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2014,11,1,80.0,0,2014-11-01
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015,1,1,78.0,0,2015-01-01
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015,5,1,53.0,0,2015-05-01
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015,6,4,1.75,0,2015-06-01
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015,7,4,3.0,0,2015-07-01
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015,8,5,5.4,0,2015-08-01
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015,9,4,19.0,0,2015-09-01
Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015,10,5,40.8,0,2015-10-01
Bad Girl,Madonna,1993,2,2,67.5,0,1993-02-01
Bad Girl,Madonna,1993,3,4,41.75,0,1993-03-01
Bad Girl,Madonna,1993,4,4,63.0,0,1993-04-01
Bad Girl,Madonna,1993,5,1,97.0,0,1993-05-01
Beautiful Stranger,Madonna,1999,6,3,57.0,0,1999-06-01
Beautiful Stranger,Madonna,1999,7,5,23.2,0,1999-07-01
Beautiful Stranger,Madonna,1999,8,4,29.5,0,1999-08-01
Beautiful Stranger,Madonna,1999,9,4,71.0,0,1999-09-01
Beautiful Stranger,Madonna,1999,10,3,92.66666666666667,0,1999-10-01
Bedtime Story,Madonna,1995,4,2,58.0,0,1995-04-01
Bedtime Story,Madonna,1995,5,4,69.0,0,1995-05-01
Bedtime Story,Madonna,1995,6,1,99.0,0,1995-06-01
Begin Again,Taylor Swift,2012,10,3,43.0,0,2012-10-01
Begin Again,Taylor Swift,2012,11,3,72.33333333333333,0,2012-11-01
Begin Again,Taylor Swift,2012,12,5,76.2,0,2012-12-01
Begin Again,Taylor Swift,2013,1,4,71.25,0,2013-01-01
Begin Again,Taylor Swift,2013,2,4,74.25,0,2013-02-01
Begin Again,Taylor Swift,2013,3,1,65.0,0,2013-03-01
Better Than Revenge,Taylor Swift,2010,11,1,56.0,0,2010-11-01
Betty,Taylor Swift,2020,8,2,66.5,0,2020-08-01
Big Boss Man,Elvis Presley,1967,10,3,58.0,0,1967-10-01
Big Boss Man,Elvis Presley,1967,11,3,41.333333333333336,0,1967-11-01
"Bill Bailey, Won't You Please Come Home",Ella Fitzgerald,1963,4,3,79.0,0,1963-04-01
Blank Space,Taylor Swift,2014,11,3,10.666666666666666,0,2014-11-01
Blank Space,Taylor Swift,2014,12,4,1.0,0,2014-12-01
Blank Space,Taylor Swift,2015,1,5,1.8,0,2015-01-01
Blank Space,Taylor Swift,2015,2,4,5.0,0,2015-02-01
Blank Space,Taylor Swift,2015,3,4,9.25,0,2015-03-01
Blank Space,Taylor Swift,2015,4,4,15.0,0,2015-04-01
Blank Space,Taylor Swift,2015,5,5,25.4,0,2015-05-01
Blank Space,Taylor Swift,2015,6,4,36.5,0,2015-06-01
Blank Space,Taylor Swift,2015,7,3,45.666666666666664,0,2015-07-01
Blue Christmas,Elvis Presley,2019,1,1,40.0,0,2019-01-01
Blue Christmas,Elvis Presley,2020,1,1,40.0,0,2020-01-01
Blue Christmas,Elvis Presley,2021,1,1,33.0,0,2021-01-01
Blue River,Elvis Presley,1966,1,1,95.0,0,1966-01-01
Border Song (Holy Moses)/You And Me,Aretha Franklin,1970,11,2,64.0,0,1970-11-01
Border Song (Holy Moses)/You And Me,Aretha Franklin,1970,12,4,40.75,0,1970-12-01
Border Song (Holy Moses)/You And Me,Aretha Franklin,1971,1,1,44.0,0,1971-01-01
Borderline,Madonna,1984,3,4,60.5,0,1984-03-01
Borderline,Madonna,1984,4,4,39.5,0,1984-04-01
Borderline,Madonna,1984,5,4,23.5,0,1984-05-01
Borderline,Madonna,1984,6,5,11.2,0,1984-06-01
Borderline,Madonna,1984,7,4,29.0,0,1984-07-01
Borderline,Madonna,1984,8,4,66.5,0,1984-08-01
Borderline,Madonna,1984,9,5,91.4,0,1984-09-01
Bossa Nova Baby,Elvis Presley With The Jordanaires,1963,10,2,59.0,0,1963-10-01
Bossa Nova Baby,Elvis Presley With The Jordanaires,1963,11,5,12.0,0,1963-11-01
Bossa Nova Baby,Elvis Presley With The Jordanaires,1963,12,3,40.666666666666664,0,1963-12-01
Both Of Us,B.o.B Featuring Taylor Swift,2012,5,2,46.5,0,2012-05-01
Both Of Us,B.o.B Featuring Taylor Swift,2012,6,5,74.6,0,2012-06-01
Both Of Us,B.o.B Featuring Taylor Swift,2012,7,4,49.25,0,2012-07-01
Both Of Us,B.o.B Featuring Taylor Swift,2012,8,4,65.0,0,2012-08-01
Both Of Us,B.o.B Featuring Taylor Swift,2012,9,4,79.5,0,2012-09-01
Break It To Me Gently,Aretha Franklin,1977,6,2,86.5,0,1977-06-01
Breathe,Taylor Swift Featuring Colbie Caillat,2008,11,1,87.0,0,2008-11-01
Breathless,Taylor Swift,2010,2,1,72.0,0,2010-02-01
Bridge Over Troubled Water/Brand New Me,Aretha Franklin,1971,4,2,40.5,0,1971-04-01
Bridge Over Troubled Water/Brand New Me,Aretha Franklin,1971,5,5,8.2,0,1971-05-01
Bridge Over Troubled Water/Brand New Me,Aretha Franklin,1971,6,4,12.0,0,1971-06-01
Bridge Over Troubled Water/Brand New Me,Aretha Franklin,1971,7,1,33.0,0,1971-07-01
Bringing It Back,Elvis Presley,1975,10,1,88.0,0,1975-10-01
Bringing It Back,Elvis Presley,1975,11,4,69.5,0,1975-11-01
Burning Love,Elvis Presley,1972,8,2,79.0,0,1972-08-01
Burning Love,Elvis Presley,1972,9,5,29.4,0,1972-09-01
Burning Love,Elvis Presley,1972,10,4,4.0,0,1972-10-01
Burning Love,Elvis Presley,1972,11,4,15.0,0,1972-11-01
But You Know I Love You,Dolly Parton,1981,4,4,67.5,1,1981-04-01
But You Know I Love You,Dolly Parton,1981,5,5,56.8,1,1981-05-01
But You Know I Love You,Dolly Parton,1981,6,1,100.0,1,1981-06-01
Call It What You Want,Taylor Swift,2017,11,1,27.0,0,2017-11-01
Call It What You Want,Taylor Swift,2017,12,1,73.0,0,2017-12-01
Call Me/Son Of A Preacher Man,Aretha Franklin,1970,2,4,57.0,0,1970-02-01
Call Me/Son Of A Preacher Man,Aretha Franklin,1970,3,4,20.25,0,1970-03-01
Call Me/Son Of A Preacher Man,Aretha Franklin,1970,4,4,22.25,0,1970-04-01
Can't Help Falling In Love,Elvis Presley With The Jordanaires,1961,12,4,31.5,0,1961-12-01
Can't Help Falling In Love,Elvis Presley With The Jordanaires,1962,1,4,4.25,0,1962-01-01
Can't Help Falling In Love,Elvis Presley With The Jordanaires,1962,2,4,6.5,0,1962-02-01
Can't Help Falling In Love,Elvis Presley With The Jordanaires,1962,3,2,34.5,0,1962-03-01
Can't You Just See Me,Aretha Franklin,1965,1,1,99.0,0,1965-01-01
Can't You Just See Me,Aretha Franklin,1965,2,1,96.0,0,1965-02-01
Cardigan,Taylor Swift,2020,8,4,16.5,0,2020-08-01
Cardigan,Taylor Swift,2020,9,4,46.25,0,2020-09-01
Cardigan,Taylor Swift,2020,10,5,70.4,0,2020-10-01
Cardigan,Taylor Swift,2020,11,1,96.0,0,2020-11-01
Causing A Commotion,Madonna,1987,9,3,32.333333333333336,0,1987-09-01
Causing A Commotion,Madonna,1987,10,5,6.8,0,1987-10-01
Causing A Commotion,Madonna,1987,11,4,15.5,0,1987-11-01
Causing A Commotion,Madonna,1987,12,4,68.75,0,1987-12-01
Causing A Commotion,Madonna,1988,1,2,97.5,0,1988-01-01
Celebration,Madonna,2009,8,1,71.0,0,2009-08-01
Chain Of Fools,Aretha Franklin,1967,12,4,29.75,0,1967-12-01
Chain Of Fools,Aretha Franklin,1968,1,4,4.25,0,1968-01-01
Chain Of Fools,Aretha Franklin,1968,2,4,13.0,0,1968-02-01
Champagne Problems,Taylor Swift,2020,12,1,21.0,0,2020-12-01
Champagne Problems,Taylor Swift,2021,1,1,77.0,0,2021-01-01
Change,Taylor Swift,2008,8,1,10.0,0,2008-08-01
Change,Taylor Swift,2008,9,2,69.5,0,2008-09-01
Cherish,Madonna,1989,8,2,32.5,0,1989-08-01
Cherish,Madonna,1989,9,5,10.6,0,1989-09-01
Cherish,Madonna,1989,10,4,9.75,0,1989-10-01
Cherish,Madonna,1989,11,4,66.5,0,1989-11-01
Christmas Tree Farm,Taylor Swift,2019,12,1,59.0,0,2019-12-01
Clean Up Your Own Back Yard,Elvis Presley,1969,7,4,64.0,0,1969-07-01
Clean Up Your Own Back Yard,Elvis Presley,1969,8,4,36.25,0,1969-08-01
Closure,Taylor Swift,2020,12,1,82.0,0,2020-12-01
Come In With The Rain,Taylor Swift,2009,11,1,30.0,0,2009-11-01
Come To Me,Aretha Franklin,1981,5,1,86.0,0,1981-05-01
Come To Me,Aretha Franklin,1981,6,2,89.0,0,1981-06-01
Coney Island,Taylor Swift Featuring The National,2020,12,1,63.0,0,2020-12-01
Cornelia Street,Taylor Swift,2019,9,1,57.0,0,2019-09-01
Cowboy Like Me,Taylor Swift,2020,12,1,71.0,0,2020-12-01
Crazier,Taylor Swift,2009,4,3,59.666666666666664,0,2009-04-01
Crazier,Taylor Swift,2009,5,5,54.4,0,2009-05-01
Crazy For You,Madonna,1985,3,5,31.6,0,1985-03-01
Crazy For You,Madonna,1985,4,4,2.75,0,1985-04-01
Crazy For You,Madonna,1985,5,4,2.75,0,1985-05-01
Crazy For You,Madonna,1985,6,5,34.2,0,1985-06-01
Crazy For You,Madonna,1985,7,3,83.66666666666667,0,1985-07-01
