What,Where,LatLong,When,Decade,Amount,RawAmountEstimate,Description,FlyoutLatLong,FlyoutLatSize
Dollywood,Sevier County,"35.79243481958975,-83.53513378182151",1986,1980,,10000000,Bought Dollywood,"35.368816258439445,-82.63651634642245",0.3433369417662533
Scholarship,Sevier County,"35.55734389605106,-84.36461676128678",1989,1980,$500 per student,1000000,Established a scholarship for any student who wanted to attend the local college Hiwassee College,"35.206666055831654,-83.64038704076384",0.19317542391435438
Buddy Program,Sevier County,"35.80010657,-83.53633156",1991,1980,$250 per student,10000,Asked 7th & 8th graders to buddy with another student and promised $500 in cash if they both graduated high school. High school dropout rate declined from 35% to 6%.,"35.436485030250424,-83.28004119594975",0.06107298684860041
Business complex/stripmall,"Sevier Park, Nashville","36.12625334878134,-86.78963866324162",1997,1990,$3 million?,3000000,"Used royalties from ""I will always love you"" to build business in black neighborhoods in Nashville/honoring whitney","35.3327887235602,-82.75925059792543",0.34336278377061547
Scholarship,Sevier County,"35.80010657,-83.53633156",2000,2000,"$75,000 per year",1500000,"Established a scholarship fund to every year award $15,000 each to 5 Sevier county students.","35.3368149411666,-82.88856798572503",0.34337928586573696
Hospital,Sevier County,"35.855763666560954,-83.53535712902242",2007,2000,"$500,000",500000,Donation to a new hospital (Fort Sanders Sevier Medical Center) and performed a free concert to raise money,"35.66245329995585,-82.10562713204347",0.26077483523701517
Dollywood,Sevier County,"35.79243481958975,-83.53513378182151",2013,2010,$1.8 billion,1800000000,"Dollywood's economic impact is assessed to be 1.8 billion per year Dolly Parton plans another $300,000 expansion, to add another approximate 2,500 jobs.","35.33254738027912,-82.75020920033113",0.34336159645164344
My People Fund,Sevier County,"35.80010657,-83.53633156",2016,2010,$3 million,3000000,Wrote a personal check and raised money to help families who lost their homes due to the Smokey Mountain Wildfires,"35.433884597175116,-83.50952655490967",0.06939746722631668
Donation,"Vanderbilt, Nashville","36.13939945911516,-86.80249953099165",2017,2010,$1 million,1000000,Donated to Monroe Caroll Jr. Children's Hospital.,"35.0941953975447,-84.1578426278713",0.052754268901345824
Donation,"Vanderbilt, Nashville","36.142522141553016,-86.8014006763952",2020,2020,$1 million,1000000,Moderna vaccine and Vanderbilt university.,"35.56647968533416,-82.21464048138527",0.34322819155798356
Donation,Humphreys County,"36.03330574,-87.79628542",2021,2020,"$700,000",700000,Flooding relief.,"35.31295333452798,-83.08717716336739",0.314118018453172
