Title,Artists,Writers,Album,Year
5 to 9,,,Non-album single,2021
9 to 5,,,9 to 5 and Odd Jobs,1980
9 to 5,,,9 to 5,1980
9 to 5,,,Live and Well,2004
9 to 5,,,"Singer, Songwriter & Legendary Performer",2007
9 to 5,,,9 to 5 and Odd Jobs,2009
9 to 5,,,Live from London,2009
9 to 5,,,Live from Glastonbury 2014,2016
9 to 5,Amber Davies;Ashford Campbell;Caroline Sheen;Natalie McQueen;Original London Cast,,"9 to 5: The Musical, (Live West End Cast Recording)",2020
9 to 5 to 9,Sabyn Mayfield,Sabyn Mayfield,Halfway There,2021
19th Amendment (A Woman's Right),,,27: The Most Perfect Album,2018
A Better Place to Live,,,Coat of Many Colors,1971
A Bridge Across,Mark O'Connor;The Nashville Symphony,Tom McBryde,This Is My America,2008
A Christmas to Remember,Kenny Rogers,,Once Upon a Christmas,1984
A Cowboy's Ways,,,Burlap & Satin,1983
A Few Old Memories,,Hazel Dickens,The Grass Is Blue,1999
A Fool Like Me,Porter Wagoner,Linda Carol Moore,"Just Between You and Me: The Complete Recordings, 1967–1976",2014
A Friend Like You,,,I Believe in You,2017
A Gamble Either Way,,,Burlap & Satin,1983
A Good Understanding,Porter Wagoner,,Once More,1970
A Habit I Can't Break,,Bill Owens,As Long as I Love,1970
A Lil' Ole Bitty Pissant Country Place,Teresa Merritt,Carol Hall,The Best Little Whorehouse in Texas,1982
A Little at a Time,,,Touch Your Woman,1972
A Lot of You Left in Me,,,Touch Your Woman,1972
A Smoky Mountain Christmas,,,A Smoky Mountain Christmas,1986
A Smoky Mountain Christmas,,,Sweet Mountain Christmas,2019
A Tender Lie,,Randy Sharp,Little Sparrow,2001
A Tender Lie,,Randy Sharp,Love Always: Live from Texas,2009
A Vision of Mother,Ricky Skaggs,Carter Stanley;Ralph Stanley,Don't Cheat in Our Hometown,1983
"About Susanne, About Your Man",,,"Just Between You and Me: The Complete Recordings, 1967–1976",2014
Act Like a Fool,,,Heartbreak Express,1982
Afraid to Live and Afraid of Dying,,Porter Wagoner,Bubbling Over,1973
Afraid to Love Again,Porter Wagoner,Jerry Chesnut;Theresa Beaty,Just the Two of Us,1968
After the Gold Rush,,Neil Young,Treasures,1996
After the Gold Rush,Emmylou Harris;Linda Ronstadt,Neil Young,Trio II,1999
After the Gold Rush,,Neil Young,Live and Well,2004
Again,Porter Wagoner,Porter Wagoner,Say Forever You'll Be Mine,1975
Alabama Sundown,,Danny Morrison;Dave Kirby,Bubbling Over,1973
All I Can Do,,,All I Can Do,1976
All I Can Do,Mary Kay Place,,"Tonite! At the Capri Lounge, Loretta Haggers",1976
All I Can Do,,,Live at the Boarding House,2006
All I Can Do,,,Live at the Bottom Line,2015
All I Need Is You,Porter Wagoner,Betty Jean Robinson,Two of a Kind,1971
All I Want for Christmas Is You,Jimmy Fallon,Mariah Carey;Walter Afanasieff,A Holly Dolly Christmas,2020
All Wrapped Up in You,,,A Smoky Mountain Christmas,1986
