Award,Year,Category,Original,Status,Song / Album / Movie Title,Type
BMI Awards,1966,Country Award,"""Put It Off Until Tomorrow"" (performed by Bill Phillips)",Won,Put It Off Until Tomorrow,Album
Nashville Songwriters Association International,1968,Songwriter Achievement Award,"""Put It Off Until Tomorrow"" (performed by Bill Phillips)",Won,Put It Off Until Tomorrow,Composition
Country Music Association Awards,1968,Vocal Group of the Year,Porter Wagoner and Dolly Parton,Won,General,Collaborative Performance
Country Music Association Awards,1968,Female Vocalist of the Year,Dolly Parton,Nominated,General,Solo Performance
CMT Music Awards,1968,Duet of the Year,Porter Wagoner and Dolly Parton,Won,General,Collaborative Performance
CMT Music Awards,1968,Most Promising Female Artist,Dolly Parton,Won,General,Solo Performance
Cashbox Awards,1968,Most Promising Up and Coming Female Artist,Dolly Parton,Won,General,Solo Performance
Country Music Association Awards,1969,Female Vocalist of the Year,Dolly Parton,Nominated,General,Solo Performance
Country Music Association Awards,1969,Vocal Group of the Year,Porter Wagoner and Dolly Parton,Nominated,General,Collaborative Performance
CMT Music Awards,1969,Duet of the Year,Porter Wagoner and Dolly Parton,Won,General,Collaborative Performance
CMT Music Awards,1969,Female Artist of the Year,Dolly Parton,Nominated,General,Solo Performance
CMT Music Awards,1969,TV Show of the Year,The Porter Wagoner Show,Nominated,The Porter Wagoner Show,Acting
Grand Ole Opry,1969,Member,Dolly Parton,Won,General,Achievement
Grammy Awards,1970,Best Country Vocal Performance by a Duo or Group,"""Just Someone I Used to Know"" (with Porter Wagoner)",Nominated,Just Someone I Used to Know,Collaborative Performance
Country Music Association Awards,1970,Vocal Duo of the Year,Porter Wagoner and Dolly Parton,Won,General,Collaborative Performance
Country Music Association Awards,1970,Female Vocalist of the Year,Dolly Parton,Nominated,General,Solo Performance
CMT Music Awards,1970,Duet of the Year,Porter Wagoner and Dolly Parton,Won,General,Collaborative Performance
CMT Music Awards,1970,Female Artist of the Year,Dolly Parton,Nominated,General,Solo Performance
CMT Music Awards,1970,TV Show of the Year,The Porter Wagoner Show,Nominated,The Porter Wagoner Show,Acting
Academy of Country Music Awards,1970,Top Female Vocalist,Dolly Parton,Nominated,General,Solo Performance
Nashville Songwriters Association International,1971,Songwriter Achievement Award,"""Daddy Was an Old Time Preacher Man"" (with Porter Wagoner)",Won,Daddy Was an Old Time Preacher Man,Composition
Grammy Awards,1971,"Best Country Vocal Performance, Female","""Mule Skinner Blues (Blue Yodel No. 8)""",Nominated,Mule Skinner Blues (Blue Yodel No. 8),Solo Performance
Grammy Awards,1971,Best Country Vocal Performance by a Duo or Group,"""Daddy Was an Old Time Preacher Man"" (with Porter Wagoner)",Nominated,Daddy Was an Old Time Preacher Man,Collaborative Performance
Country Music Association Awards,1971,Vocal Duo of the Year,Porter Wagoner and Dolly Parton,Won,General,Collaborative Performance
Country Music Association Awards,1971,Female Vocalist of the Year,Dolly Parton,Nominated,General,Solo Performance
CMT Music Awards,1971,TV Show of the Year,The Porter Wagoner Show,Won,The Porter Wagoner Show,Acting
CMT Music Awards,1971,Duet of the Year,Porter Wagoner and Dolly Parton,Nominated,General,Collaborative Performance
BMI Awards,1971,Country Award,"""Daddy Was an Old Time Preacher Man"" (with Porter Wagoner)",Won,Daddy Was an Old Time Preacher Man,Song
BMI Awards,1971,Country Award,"""Joshua""",Won,Joshua,Song
Academy of Country Music Awards,1971,Top Vocal Group,Porter Wagoner and Dolly Parton,Won,General,Collaborative Performance
Academy of Country Music Awards,1971,Top Female Vocalist,Dolly Parton,Nominated,General,Solo Performance
Nashville Songwriters Association International,1972,Songwriter Achievement Award,"""Coat of Many Colors""",Won,Coat of Many Colors,Composition
Grammy Awards,1972,Best Country Vocal Performance by a Duo or Group,"""Better Move It on Home"" (with Porter Wagoner)",Nominated,Better Move It on Home,Collaborative Performance
Grammy Awards,1972,Best Sacred Performance,The Golden Streets of Glory,Nominated,The Golden Streets of Glory,Solo Performance
Grammy Awards,1972,"Best Country Vocal Performance, Female","""Joshua""",Nominated,Joshua,Solo Performance
Country Music Association Awards,1972,Album of the Year,Coat of Many Colors,Nominated,Coat of Many Colors,Album
Country Music Association Awards,1972,Female Vocalist of the Year,Dolly Parton,Nominated,General,Solo Performance
Country Music Association Awards,1972,Vocal Duo of the Year,Porter Wagoner and Dolly Parton,Nominated,General,Collaborative Performance
CMT Music Awards,1972,Duet of the Year,Porter Wagoner and Dolly Parton,Nominated,General,Collaborative Performance
CMT Music Awards,1972,Female Artist of the Year,Dolly Parton,Nominated,General,Solo Performance
CMT Music Awards,1972,TV Show of the Year,The Porter Wagoner Show,Nominated,The Porter Wagoner Show,Acting
BMI Awards,1972,Country Award,"""The Last One to Touch Me""",Won,The Last One to Touch Me,Song
Academy of Country Music Awards,1972,Top Vocal Group,Porter Wagoner and Dolly Parton,Nominated,General,Collaborative Performance
Grammy Awards,1973,"Best Country Vocal Performance, Female","""Touch Your Woman""",Nominated,Touch Your Woman,Solo Performance
Country Music Association Awards,1973,Vocal Duo of the Year,Porter Wagoner and Dolly Parton,Nominated,General,Collaborative Performance
CMT Music Awards,1973,Duet of the Year,Porter Wagoner and Dolly Parton,Nominated,General,Collaborative Performance
CMT Music Awards,1973,TV Show of the Year,The Porter Wagoner Show,Nominated,The Porter Wagoner Show,Acting
Academy of Country Music Awards,1973,Top Female Vocalist,Dolly Parton,Nominated,General,Solo Performance
Nashville Songwriters Association International,1974,Songwriter Achievement Award,"""Jolene""",Won,Jolene,Composition
Grammy Awards,1974,Best Country Vocal Performance by a Duo or Group,"""If Teardrops Were Pennies"" (with Porter Wagoner)",Nominated,If Teardrops Were Pennies,Collaborative Performance
Country Music Association Awards,1974,Female Vocalist of the Year,Dolly Parton,Nominated,General,Solo Performance
Country Music Association Awards,1974,Vocal Duo of the Year,Porter Wagoner and Dolly Parton,Nominated,General,Collaborative Performance
CMT Music Awards,1974,Duet of the Year,Porter Wagoner and Dolly Parton,Nominated,General,Collaborative Performance
CMT Music Awards,1974,Female Artist of the Year,Dolly Parton,Nominated,General,Solo Performance
BMI Awards,1974,Country Award,"""Jolene""",Won,Jolene,Song
BMI Awards,1974,Pop Award / Million-Air,"""Jolene""",Won,Jolene,Song
BMI Awards,1974,Country Award,"""Traveling Man""",Won,Traveling Man,Song
Academy of Country Music Awards,1974,Top Female Vocalist,Dolly Parton,Nominated,General,Solo Performance
Academy of Country Music Awards,1974,Top Vocal Duet or Group,Porter Wagoner and Dolly Parton,Nominated,General,Collaborative Performance
Record World Awards,1975,Tom Female Vocalist — Singles,Dolly Parton,Won,General,Solo Performance
Nashville Songwriters Association International,1975,Songwriter Achievement Award,"""Jolene""",Won,Jolene,Composition
